D,P15,0.3774,938.2285,0.2474,400.8636,0.2052,504.6827,0.38,6.23,0.33,2.98,0.36,5.55,1.76,1.5975,1.7839,13573.8721,13532.3623,13620.7969,6696.1719,-14266.9688,51435.375,-0.879,-0.2439,60.0168,11075,8776,2298,19851,2924975,22001,71704,49702,93706,2021/09/03 13:00:01
D,P15,0.4814,774.231,0.235,390.8656,0.2057,817.8279,0.38,4.93,0.32,2.9,0.36,5.54,1.8402,1.6881,1.8177,13598.459,13555.2266,13641.1807,6887.8906,-14506.4102,55755.0625,-0.9925,-0.2462,60.0257,11075,8776,2298,19851,2924975,22001,71704,49702,93706,2021/09/03 13:00:02
D,P15,0.3859,476.5174,0.2443,405.2122,0.1973,408.3649,0.38,6.22,0.33,2.99,0.34,3.0,1.8078,1.6551,1.8054,13615.6055,13568.9385,13659.7705,7551.834,-14221.8906,56908.5,-0.858,-0.2038,60.0316,11075,8776,2298,19851,2924975,22001,71704,49702,93706,2021/09/03 13:00:03
D,P15,0.4013,393.9171,0.2447,434.1591,0.1933,442.1448,0.39,2.9,0.34,2.46,0.33,3.08,1.8172,1.6771,1.8201,13618.3193,13574.2607,13651.5674,7522.8262,-14245.7813,59107.3125,-0.959,-0.1975,60.0257,11075,8776,2298,19851,2924975,22001,71704,49702,93706,2021/09/03 13:00:04
D,P15,0.4022,418.4231,0.2451,402.493,0.1884,454.4885,0.39,3.08,0.33,2.97,0.31,4.79,1.7991,1.6431,1.7824,13515.9922,13481.8047,13600.5244,6681.6094,-14316.1328,51196.3125,-0.9419,-0.2435,60.0197,11075,8776,2298,19851,2924975,22001,71704,49702,93706,2021/09/03 13:00:06
D,P15,0.389,418.4659,0.2448,443.2838,0.1917,493.5432,0.38,3.07,0.33,2.58,0.32,2.74,1.8806,1.7038,1.8304,13626.1699,13577.8525,13665.0088,7368.4883,-14409.6406,60459.75,-0.8391,-0.1948,60.0257,11075,8776,2298,19851,2924975,22001,71704,49702,93706,2021/09/03 13:00:07
D,P15,0.3899,388.0177,0.243,410.6843,0.2497,445.3625,0.38,2.85,0.33,2.46,0.31,2.41,1.8238,1.7157,1.8287,13634.082,13584.2227,13678.1943,7389.0195,-14360.0039,57890.875,-0.9355,-0.1987,60.0108,11075,8776,2298,19851,2924975,22001,71704,49702,93706,2021/09/03 13:00:08
D,P15,0.3853,496.6019,0.4118,468.3245,0.1929,430.8366,0.38,5.23,0.34,2.67,0.32,5.15,1.8174,1.6309,1.8104,13612.3105,13567.1621,13663.6563,7264.7461,-14554.4609,58920.75,-0.7684,-0.1934,60.019,11075,8776,2298,19851,2924975,22001,71704,49702,93706,2021/09/03 13:00:09
D,P15,0.3789,410.7396,0.2408,391.4083,0.1885,446.9894,0.38,3.02,0.32,2.89,0.31,2.58,1.8677,1.6822,1.8184,13605.0986,13559.9893,13651.1602,7295.6836,-14665.6602,58438.375,-0.9232,-0.1948,60.013,11075,8776,2298,19851,2924975,22001,71704,49702,93706,2021/09/03 13:00:11
D,P15,0.3819,805.6914,0.2497,398.4345,0.2019,433.0013,0.38,5.99,0.34,2.94,0.35,4.88,1.8331,1.7184,1.8275,13638.002,13589.7588,13680.2656,7783.1758,-14214.3906,58956.9375,-0.8114,-0.2084,60.0041,11075,8776,2298,19851,2924975,22001,71704,49702,93706,2021/09/03 13:00:12
