C,ID,EQUIPO_ENCENDIDO,HOROMETRO,NIVEL_COMBUSTIBLE,T6,T7,T8,T9,T10,GPS_TIEMPO,LATITUD,HEMISFERIO,LONGITUD,MERIDIANO,ALTITUD,ALT_MEDIDA,VELOCIDAD,FECHA_HORA_SIS\r\n
D,LB44,True,3694.5,0,0,0,0,0,0,0,021651,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:47
D,LB44,True,3694.5,0,0,0,0,0,0,0,021652,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:48
D,LB44,True,3694.5,0,0,0,0,0,0,0,021653,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:49
D,LB44,True,3694.5,0,0,0,0,0,0,0,021654,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:50
D,LB44,True,3694.5,0,0,0,0,0,0,0,021655,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:51
D,LB44,True,3694.5,0,0,0,0,0,0,0,021656,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:52
D,LB44,True,3694.5,0,0,0,0,0,0,0,021657,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:53
D,LB44,True,3694.5,0,0,0,0,0,0,0,021658,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:54
D,LB44,True,3694.5,0,0,0,0,0,0,0,021659,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:55
D,LB44,True,3694.5,0,0,0,0,0,0,0,021700,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:56
D,LB44,True,3694.5,0,0,0,0,0,0,0,021701,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:57
D,LB44,True,3694.5,0,0,0,0,0,0,0,021702,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:59
