C,ID,NIVEL_COMBUSTIBLE,NIVEL_AGUA,HOROMETRO,SWITCH_ACEITE_MOTOR,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,ST_MOTOR,ST_SIS_MEGA,ST_BOMBA,ST_MONITOR,ST_ASP1,ST_ASP2,ST_ASP3,ST_ASP4,ST_CARRETE,ST_DESCARGA,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,GPS_TIEMPO,LATITUD,HEMISFERIO,LONGITUD,MERIDIANO,ALTITUD,ALT_MEDIDA,VELOCIDAD,FECHA_HORA_SIS\r\n
D,CC36,34.39,24.02,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035924,1632.2629,S,07135.7457,W,2538.7,M,000.0,2021/09/07 20:59:24
D,CC36,34.39,24.0,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035925,1632.2629,S,07135.7457,W,2538.7,M,000.0,2021/09/07 20:59:25
D,CC36,34.39,23.98,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035926,1632.2629,S,07135.7457,W,2538.6,M,000.0,2021/09/07 20:59:26
D,CC36,34.39,23.96,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035927,1632.2629,S,07135.7457,W,2538.6,M,000.0,2021/09/07 20:59:27
D,CC36,34.4,23.93,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035929,1632.2629,S,07135.7457,W,2538.6,M,000.0,2021/09/07 20:59:28
D,CC36,34.4,23.91,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035930,1632.2629,S,07135.7457,W,2538.6,M,000.0,2021/09/07 20:59:30
D,CC36,34.4,23.89,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035931,1632.2629,S,07135.7457,W,2538.6,M,000.0,2021/09/07 20:59:31
D,CC36,34.4,23.86,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035932,1632.2629,S,07135.7457,W,2538.6,M,000.0,2021/09/07 20:59:32
D,CC36,34.4,23.84,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035933,1632.2629,S,07135.7457,W,2538.6,M,000.0,2021/09/07 20:59:33
D,CC36,34.4,23.82,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035935,1632.2629,S,07135.7457,W,2538.6,M,000.0,2021/09/07 20:59:34
D,CC36,34.4,23.79,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035936,1632.2629,S,07135.7457,W,2538.6,M,000.0,2021/09/07 20:59:36
D,CC36,34.4,23.76,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035937,1632.2629,S,07135.7457,W,2538.6,M,000.0,2021/09/07 20:59:37
D,CC36,34.39,23.74,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035938,1632.2629,S,07135.7457,W,2538.6,M,000.0,2021/09/07 20:59:38
D,CC36,34.39,23.71,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035940,1632.2629,S,07135.7457,W,2538.6,M,000.0,2021/09/07 20:59:39
D,CC36,34.39,23.69,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035940,1632.2629,S,07135.7457,W,2538.6,M,000.0,2021/09/07 20:59:40
D,CC36,34.39,23.66,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035942,1632.2629,S,07135.7457,W,2538.6,M,000.0,2021/09/07 20:59:42
D,CC36,34.38,23.64,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035943,1632.2629,S,07135.7457,W,2538.6,M,000.0,2021/09/07 20:59:43
D,CC36,34.38,23.61,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035944,1632.2629,S,07135.7457,W,2538.6,M,000.0,2021/09/07 20:59:44
D,CC36,34.38,23.58,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035945,1632.2629,S,07135.7457,W,2538.6,M,000.0,2021/09/07 20:59:45
D,CC36,34.38,23.55,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035946,1632.2629,S,07135.7457,W,2538.6,M,000.0,2021/09/07 20:59:46
D,CC36,34.39,23.53,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035948,1632.2629,S,07135.7457,W,2538.6,M,000.0,2021/09/07 20:59:48
D,CC36,34.39,23.5,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035949,1632.2629,S,07135.7457,W,2538.6,M,000.0,2021/09/07 20:59:49
D,CC36,34.38,23.48,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035950,1632.2629,S,07135.7457,W,2538.6,M,000.0,2021/09/07 20:59:50
D,CC36,34.38,23.46,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035951,1632.2629,S,07135.7457,W,2538.6,M,000.0,2021/09/07 20:59:51
D,CC36,34.38,23.44,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035952,1632.2629,S,07135.7457,W,2538.6,M,000.0,2021/09/07 20:59:52
D,CC36,34.37,23.42,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035954,1632.2629,S,07135.7457,W,2538.6,M,000.0,2021/09/07 20:59:54
D,CC36,34.37,23.39,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035955,1632.2630,S,07135.7457,W,2538.6,M,000.0,2021/09/07 20:59:55
D,CC36,34.37,23.37,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035956,1632.2630,S,07135.7457,W,2538.6,M,000.0,2021/09/07 20:59:56
D,CC36,34.37,23.34,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035957,1632.2630,S,07135.7457,W,2538.6,M,000.0,2021/09/07 20:59:57
D,CC36,34.37,23.32,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035958,1632.2630,S,07135.7457,W,2538.6,M,000.0,2021/09/07 20:59:58
