C,ID,NIVEL_COMBUSTIBLE,NIVEL_AGUA,HOROMETRO,SWITCH_ACEITE_MOTOR,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,ST_MOTOR,ST_SIS_MEGA,ST_BOMBA,ST_MONITOR,ST_ASP1,ST_ASP2,ST_ASP3,ST_ASP4,ST_CARRETE,ST_DESCARGA,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,GPS_TIEMPO,LATITUD,HEMISFERIO,LONGITUD,MERIDIANO,ALTITUD,ALT_MEDIDA,VELOCIDAD,FECHA_HORA_SIS\r\n
D,CC42,64.51,2.0,9877.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035901,1632.8689,S,07135.5247,W,2693.8,M,000.0,2021/09/07 20:59:01
D,CC42,64.53,2.0,9877.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035903,1632.8689,S,07135.5246,W,2693.8,M,000.0,2021/09/07 20:59:03
D,CC42,64.54,2.0,9877.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035904,1632.8689,S,07135.5247,W,2693.8,M,000.0,2021/09/07 20:59:04
D,CC42,64.54,2.0,9877.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035905,1632.8689,S,07135.5247,W,2693.8,M,000.0,2021/09/07 20:59:05
D,CC42,64.55,2.0,9877.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035906,1632.8689,S,07135.5246,W,2693.8,M,000.0,2021/09/07 20:59:06
D,CC42,64.55,2.0,9877.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035907,1632.8689,S,07135.5246,W,2693.8,M,000.0,2021/09/07 20:59:07
D,CC42,64.56,2.0,9877.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035908,1632.8689,S,07135.5246,W,2693.8,M,000.0,2021/09/07 20:59:08
D,CC42,64.56,2.0,9877.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035909,1632.8689,S,07135.5246,W,2693.8,M,000.0,2021/09/07 20:59:09
D,CC42,64.56,2.0,9877.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035910,1632.8689,S,07135.5246,W,2693.8,M,000.0,2021/09/07 20:59:10
D,CC42,64.56,2.0,9877.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,035911,1632.8690,S,07135.5246,W,2693.8,M,000.0,2021/09/07 20:59:11
